country,year,gdp,lifesat,pop
Albania,2014,9968.6,NA,NA
Albania,2015,10264.1,NA,NA
Albania,2016,10719.9,NA,NA
Albania,2017,11559,NA,NA
Albania,2018,12828.1,5.5,NA
Albania,2019,13754.2,NA,NA
Albania,2020,13310.4,NA,NA
Albania,2021,15157.4,5.7,NA
Albania,2022,17972.3,NA,NA
Albania,2023,21255.4,NA,NA
Austria,2014,333146.1,NA,8032926
Austria,2015,344269.2,NA,8032926
Austria,2016,357608,NA,8032926
Austria,2017,369361.9,NA,8032926
Austria,2018,385274.1,8,8032926
Austria,2019,397147.2,NA,8032926
Austria,2020,380888.5,NA,8032926
Austria,2021,405241.4,8,8032926
Austria,2022,447217.6,7.9,8032926
Austria,2023,478190.1,7.7,8032926
Bosnia and Herzegovina,2014,13988.3,NA,NA
Bosnia and Herzegovina,2015,14791.1,NA,NA
Bosnia and Herzegovina,2016,15474.3,NA,NA
Bosnia and Herzegovina,2017,16260.5,NA,NA
Bosnia and Herzegovina,2018,17354.2,NA,NA
Bosnia and Herzegovina,2019,18296.5,NA,NA
Bosnia and Herzegovina,2020,17755.9,NA,NA
Bosnia and Herzegovina,2021,20014.7,NA,NA
Bosnia and Herzegovina,2022,23324.1,NA,NA
Bosnia and Herzegovina,2023,25026.6,NA,NA
Belgium,2014,403003.3,NA,10296350
Belgium,2015,416701.4,NA,10296350
Belgium,2016,430085.3,NA,10296350
Belgium,2017,445050.1,NA,10296350
Belgium,2018,460050.8,7.6,10296350
Belgium,2019,478676.2,NA,10296350
Belgium,2020,460535.2,NA,10296350
Belgium,2021,508061.2,7.5,10296350
Belgium,2022,554213.7,7.6,10296350
Belgium,2023,584698.9,7.7,10296350
Bulgaria,2014,43024.7,NA,7928901
Bulgaria,2015,45797.8,NA,7928901
Bulgaria,2016,48752.1,NA,7928901
Bulgaria,2017,52501.8,NA,7928901
Bulgaria,2018,56199.8,5.4,7928901
Bulgaria,2019,61530.8,NA,7928901
Bulgaria,2020,61607.7,NA,7928901
Bulgaria,2021,71060.1,5.7,7928901
Bulgaria,2022,85800.7,5.6,7928901
Bulgaria,2023,93948,5.9,7928901
Switzerland,2014,548014.5,NA,7288010
Switzerland,2015,625532.7,NA,7288010
Switzerland,2016,621765.1,NA,7288010
Switzerland,2017,615776.3,NA,7288010
Switzerland,2018,614304.4,8,7288010
Switzerland,2019,644443.2,NA,7288010
Switzerland,2020,650742.6,NA,7288010
Switzerland,2021,687568.4,7.9,7288010
Switzerland,2022,777804.6,8,7288010
Switzerland,2023,818182.9,NA,7288010
Cyprus,2014,17482.8,NA,689565
Cyprus,2015,17944.2,NA,689565
Cyprus,2016,19013.8,NA,689565
Cyprus,2017,20312.4,NA,689565
Cyprus,2018,21675.1,7.1,689565
Cyprus,2019,23177.9,NA,689565
Cyprus,2020,22086.6,NA,689565
Cyprus,2021,24927.6,6.8,689565
Cyprus,2022,27777,7.2,689565
Cyprus,2023,29807.2,7.5,689565
Czechia,2014,158991.5,NA,10230060
Czechia,2015,170527.3,NA,10230060
Czechia,2016,179145.9,NA,10230060
Czechia,2017,196738.7,NA,10230060
Czechia,2018,213505.4,7.4,10230060
Czechia,2019,229406.7,NA,10230060
Czechia,2020,220310.6,NA,10230060
Czechia,2021,246012.3,7.3,10230060
Czechia,2022,286976.8,7.4,10230060
Czechia,2023,317387,7.4,10230060
Germany,2014,2927430,NA,81465344
Germany,2015,3026180,NA,81465344
Germany,2016,3134740,NA,81465344
Germany,2017,3267160,NA,81465344
Germany,2018,3365450,7.4,81465344
Germany,2019,3474110,NA,81465344
Germany,2020,3403730,NA,81465344
Germany,2021,3617450,NA,81465344
Germany,2022,3876810,6.5,81465344
Germany,2023,4122210,7,81465344
Denmark,2014,265635.7,NA,5349212
Denmark,2015,272193,NA,5349212
Denmark,2016,282265.1,NA,5349212
Denmark,2017,294355,NA,5349212
Denmark,2018,301017.3,7.8,5349212
Denmark,2019,308546.2,NA,5349212
Denmark,2020,312118.3,NA,5349212
Denmark,2021,345236,7.5,5349212
Denmark,2022,382309.3,7.6,5349212
Denmark,2023,376430,7.5,5349212
Estonia,2014,20048.2,NA,1370052
Estonia,2015,20631.4,NA,1370052
Estonia,2016,21747.9,NA,1370052
Estonia,2017,23833.6,NA,1370052
Estonia,2018,25932.2,7,1370052
Estonia,2019,27951,NA,1370052
Estonia,2020,27430,NA,1370052
Estonia,2021,31169,7.2,1370052
Estonia,2022,36011.1,7.2,1370052
Estonia,2023,37682.4,7.2,1370052
Greece,2014,177236,NA,10934097
Greece,2015,176368.9,NA,10934097
Greece,2016,174494.2,NA,10934097
Greece,2017,176903.4,NA,10934097
Greece,2018,179557.7,6.4,10934097
Greece,2019,183347.4,NA,10934097
Greece,2020,165015.7,NA,10934097
Greece,2021,181500.4,6.8,10934097
Greece,2022,206620.4,6.7,10934097
Greece,2023,220302.6,6.9,10934097
Spain,2014,1032608,NA,40847371
Spain,2015,1078092,NA,40847371
Spain,2016,1114420,NA,40847371
Spain,2017,1162492,NA,40847371
Spain,2018,1203859,7.3,40847371
